StartedOn,FinishedOn,RequestedEnergy,EnergyDelivered,Protocol,PaymentType,PricePolicyRef,CostPerKWh,SessionCost,BonusPointsRedeemed,BonusPointsGained,VehicleID,StationPointID,ProviderID
2020/02/02 14:37:47,2020/02/02 15:38:28,18.9,19.2,OpenADR,Credit Card,Fast Pro,0.16,3.07,0,19,24,78,3
2020/10/14 19:5:45,2020/10/14 20:58:57,26.5,25.9,ISO15118,Credit Card,Standard,0.1,2.59,0,25,30,22,5
2020/01/15 14:11:25,2020/01/15 15:15:47,NULL,18.9,OCPI,Credit Card,Discount,0.08,1.51,0,18,11,127,1
2020/07/07 1:25:54,2020/07/07 3:40:25,29.3,29.8,OCHP,Credit Card,Standard,0.1,2.98,0,29,15,111,3
2020/03/16 14:21:55,2020/03/16 15:32:3,32.1,31.7,OICP,Credit Card,Discount,0.08,2.54,0,31,4,17,4
2020/10/18 9:11:9,2020/10/18 11:24:51,NULL,22.6,OCPI,Credit Card,Discount,0.08,0.22,159,22,13,41,2
2020/10/03 1:37:17,2020/10/03 2:15:57,NULL,33.3,OCPI,Credit Card,Standard,0.1,3.33,0,33,9,81,3
2020/12/14 7:5:0,2020/12/14 9:58:39,31.3,30.7,OICP,Credit Card,Military,0.04,1.23,0,30,7,145,3
2020/11/24 4:34:11,2020/11/24 5:25:45,NULL,23.6,OICP,Credit Card,Military,0.04,0.39,55,23,18,47,4
2020/10/12 14:44:3,2020/10/12 16:44:2,30.4,30.3,ISO15118,Credit Card,Fast Pro,0.16,4.85,0,30,19,144,3
2020/07/22 19:53:21,2020/07/22 21:51:7,NULL,19.3,OCHP,Credit Card,Discount,0.08,1.54,0,19,31,7,1
2020/10/07 10:2:20,2020/10/07 12:4:22,NULL,19.5,OCHP,Credit Card,Standard,0.1,1.09,86,19,12,137,3
2020/01/24 2:19:55,2020/01/24 4:28:49,21.5,21.1,OCPI,Credit Card,Fast Pro,0.16,3.38,0,21,29,63,4
2020/06/22 11:15:42,2020/06/22 12:35:54,NULL,22.5,ISO15118,Credit Card,Discount,0.08,1.8,0,22,16,137,4
2020/06/14 0:13:36,2020/06/14 2:47:49,NULL,20.4,ISO15118,Credit Card,Standard,0.1,0.33,171,20,28,157,3
2020/10/14 11:5:11,2020/10/14 12:32:49,19.9,20.6,OCPI,Credit Card,Fast Pro,0.16,3.3,0,20,24,142,2
2020/01/02 9:13:0,2020/01/02 10:2:31,23.0,22.0,OICP,Credit Card,Standard,0.1,2.2,0,22,34,100,2
2020/12/13 2:33:1,2020/12/13 4:35:3,NULL,28.1,OCHP,Credit Card,Fast Pro,0.16,4.5,0,28,17,14,1
2020/07/20 16:43:30,2020/07/20 17:37:34,NULL,24.3,ISO15118,Credit Card,Fast Pro,0.16,3.89,0,24,24,143,3
2020/06/15 16:22:11,2020/06/15 18:20:19,17.2,16.4,OCHP,Credit Card,Fast Pro,0.16,2.53,9,16,10,23,1
2020/09/14 16:12:41,2020/09/14 18:31:52,26.5,27.2,ISO15118,Credit Card,Fast Pro,0.16,4.35,0,27,26,100,4
2020/06/24 0:38:47,2020/06/24 1:45:27,NULL,20.6,OICP,Credit Card,Military,0.04,0.82,0,20,2,181,1
2020/01/06 19:14:47,2020/01/06 20:17:35,NULL,32.4,ISO15118,Credit Card,Standard,0.1,3.24,0,32,8,66,4
2020/12/26 13:28:22,2020/12/26 14:30:21,34.0,34.7,OICP,Credit Card,Standard,0.1,3.47,0,34,22,154,3
2020/08/29 19:18:1,2020/08/29 20:34:36,37.1,37.8,OpenADR,Credit Card,Discount,0.08,3.02,0,37,21,79,4
2020/05/02 3:17:57,2020/05/02 4:23:38,NULL,20.4,OCHP,Credit Card,Discount,0.08,1.63,0,20,29,167,3
2020/11/25 9:36:0,2020/11/25 11:25:29,22.6,22.0,OpenADR,Credit Card,Standard,0.1,2.2,0,22,14,152,5
2020/08/17 18:31:0,2020/08/17 19:51:28,NULL,26.9,OICP,Credit Card,Discount,0.08,0.8,135,26,32,9,1
2020/06/07 19:13:37,2020/06/07 20:30:43,NULL,29.5,OCHP,Credit Card,Standard,0.1,2.95,0,29,18,79,1
2020/08/23 8:15:37,2020/08/23 10:53:54,20.9,20.7,OCHP,Credit Card,Standard,0.1,1.42,65,20,6,87,5
2020/06/27 5:5:38,2020/06/27 6:55:12,NULL,32.9,OCHP,Credit Card,Fast Pro,0.16,5.26,0,32,32,121,1
2020/02/01 8:53:39,2020/02/01 9:57:5,35.1,35.6,OCCP,Credit Card,Standard,0.1,3.56,0,35,18,42,3
2020/03/01 16:24:35,2020/03/01 17:11:6,37.1,36.2,ISO15118,Credit Card,Fast Pro,0.16,5.79,0,36,34,63,2
2020/04/09 19:22:20,2020/04/09 20:38:58,NULL,22.6,ISO15118,Credit Card,Discount,0.08,-0.03,184,22,33,27,4
2020/10/28 12:40:16,2020/10/28 14:56:41,NULL,18.4,OICP,Credit Card,Military,0.04,0.74,0,18,29,127,3
2020/11/21 7:34:25,2020/11/21 8:47:25,NULL,22.0,ISO15118,Credit Card,Standard,0.1,2.2,0,22,4,118,3
2020/12/05 12:11:27,2020/12/05 14:38:31,23.2,23.9,OCHP,Credit Card,Military,0.04,0.96,0,23,30,11,1
2020/05/13 11:1:12,2020/05/13 13:15:24,NULL,18.5,OpenADR,Credit Card,Standard,0.1,1.85,0,18,15,29,2
2020/02/15 13:47:1,2020/02/15 15:28:20,NULL,31.1,OCCP,Credit Card,Standard,0.1,3.11,0,31,16,174,5
2020/11/30 9:0:31,2020/11/30 11:34:46,NULL,23.9,OICP,Credit Card,Fast Pro,0.16,3.82,0,23,14,156,5
2020/03/25 15:20:30,2020/03/25 17:57:53,26.7,27.4,OCHP,Credit Card,Fast Pro,0.16,4.08,30,27,12,126,3
2020/08/28 17:5:57,2020/08/28 18:52:20,18.1,17.8,OICP,Credit Card,Discount,0.08,1.42,0,17,25,178,3
2020/11/16 15:14:21,2020/11/16 16:53:28,19.4,19.3,OpenADR,Credit Card,Standard,0.1,1.93,0,19,33,54,1
2020/03/19 12:11:29,2020/03/19 13:55:2,NULL,16.0,OCPI,Credit Card,Fast Pro,0.16,2.56,0,16,20,71,5
2020/08/27 10:6:9,2020/08/27 12:49:42,34.4,35.2,OCHP,Credit Card,Fast Pro,0.16,5.63,0,35,2,114,5
2020/06/26 0:4:37,2020/06/26 2:58:35,NULL,29.0,OICP,Credit Card,Standard,0.1,1.19,171,29,8,84,4
2020/02/11 6:40:28,2020/02/11 8:22:56,15.8,15.3,OpenADR,Credit Card,Standard,0.1,0.79,74,15,4,70,5
2020/08/14 4:50:57,2020/08/14 5:48:14,30.5,30.8,OCCP,Credit Card,Standard,0.1,3.08,0,30,25,165,5
2020/06/25 10:50:28,2020/06/25 11:40:16,22.8,21.8,OpenADR,Credit Card,Fast Pro,0.16,3.49,0,21,2,17,1
2020/04/23 18:36:49,2020/04/23 20:17:40,17.3,16.6,OICP,Credit Card,Standard,0.1,1.66,0,16,29,99,1
2020/10/29 11:47:51,2020/10/29 13:42:26,34.8,34.4,OCPI,Credit Card,Fast Pro,0.16,5.5,0,34,28,81,3
2020/03/31 4:50:23,2020/03/31 5:54:10,15.6,14.8,OpenADR,Credit Card,Fast Pro,0.16,2.37,0,14,29,12,5
2020/12/04 1:23:15,2020/12/04 2:25:20,36.0,35.7,OpenADR,Credit Card,Fast Pro,0.16,5.71,0,35,17,116,3
2020/01/26 1:20:39,2020/01/26 2:23:36,NULL,21.3,ISO15118,Credit Card,Standard,0.1,0.22,191,21,31,163,3
2020/10/21 14:35:6,2020/10/21 16:8:9,26.3,26.8,ISO15118,Credit Card,Standard,0.1,2.68,0,26,9,144,2
2020/05/14 13:39:29,2020/05/14 15:28:36,22.1,21.2,OCPI,Credit Card,Standard,0.1,2.12,0,21,3,125,3
2020/09/05 15:37:24,2020/09/05 16:23:2,29.7,28.7,OCCP,Credit Card,Standard,0.1,2.87,0,28,7,35,4
2020/09/03 16:9:50,2020/09/03 18:49:0,34.6,34.2,OCPI,Credit Card,Fast Pro,0.16,5.47,0,34,33,184,1
2020/10/03 2:21:0,2020/10/03 4:17:38,24.8,24.1,OpenADR,Credit Card,Standard,0.1,1.85,56,24,5,65,1
2020/05/21 4:23:42,2020/05/21 6:49:54,26.2,26.6,OCHP,Credit Card,Fast Pro,0.16,4.26,0,26,22,74,3
2020/02/21 6:57:3,2020/02/21 8:56:35,34.6,33.6,OCHP,Credit Card,Discount,0.08,2.69,0,33,6,70,4
2020/11/11 19:30:35,2020/11/11 21:42:48,25.9,26.1,OCCP,Credit Card,Fast Pro,0.16,4.18,0,26,5,63,4
2020/06/06 4:58:25,2020/06/06 5:55:6,26.6,26.6,OpenADR,Credit Card,Discount,0.08,2.13,0,26,3,129,1
2020/10/04 2:6:16,2020/10/04 3:39:42,27.9,28.2,OpenADR,Credit Card,Fast Pro,0.16,4.51,0,28,1,131,5
2020/01/30 11:12:38,2020/01/30 13:17:28,NULL,31.4,OCCP,Credit Card,Discount,0.08,2.51,0,31,3,101,4
2020/03/05 17:35:30,2020/03/05 19:34:11,15.8,15.6,OCCP,Credit Card,Standard,0.1,-0.11,167,15,7,148,2
2020/04/12 2:24:21,2020/04/12 4:30:48,31.3,31.5,OCCP,Credit Card,Fast Pro,0.16,5.04,0,31,23,169,1
2020/03/05 14:45:54,2020/03/05 16:43:11,NULL,33.1,OICP,Credit Card,Discount,0.08,2.65,0,33,2,142,2
2020/11/27 0:8:6,2020/11/27 2:28:38,NULL,15.3,OCPI,Credit Card,Fast Pro,0.16,2.45,0,15,22,181,1
2020/09/03 2:6:35,2020/09/03 4:16:36,NULL,29.7,OpenADR,Credit Card,Standard,0.1,2.97,0,29,18,152,2
2020/05/13 2:45:4,2020/05/13 3:54:12,NULL,16.5,OCPI,Credit Card,Standard,0.1,1.65,0,16,24,188,3
2020/05/18 11:48:17,2020/05/18 12:39:9,NULL,23.4,OICP,Credit Card,Standard,0.1,2.34,0,23,18,68,2
2020/03/14 3:7:6,2020/03/14 5:15:14,NULL,33.6,OCPI,Credit Card,Discount,0.08,2.69,0,33,24,67,1
2020/08/03 12:24:21,2020/08/03 14:19:44,30.7,31.4,OCCP,Credit Card,Fast Pro,0.16,4.81,21,31,21,73,5
2020/03/18 2:40:43,2020/03/18 3:55:21,NULL,23.8,OCPI,Credit Card,Discount,0.08,0.89,101,23,25,73,5
2020/12/05 0:31:30,2020/12/05 2:46:1,NULL,20.1,OCCP,Credit Card,Standard,0.1,2.01,0,20,25,15,4
2020/12/26 11:19:48,2020/12/26 12:21:50,NULL,31.8,OICP,Credit Card,Fast Pro,0.16,5.09,0,31,11,183,3
2020/08/30 6:36:22,2020/08/30 7:2:36,NULL,35.3,OCPI,Credit Card,Standard,0.1,3.53,0,35,4,72,2
2020/09/25 17:12:12,2020/09/25 18:51:25,22.7,22.3,ISO15118,Credit Card,Discount,0.08,1.78,0,22,7,152,1
2020/03/19 12:31:16,2020/03/19 14:28:1,NULL,25.6,OICP,Credit Card,Discount,0.08,2.05,0,25,15,17,3
2020/02/22 1:29:30,2020/02/22 3:5:35,NULL,25.5,OICP,Credit Card,Military,0.04,0.77,25,25,24,177,3
2020/01/12 18:26:51,2020/01/12 20:31:42,NULL,24.1,OpenADR,Credit Card,Fast Pro,0.16,3.64,22,24,24,136,2
2020/07/09 6:11:2,2020/07/09 8:1:46,21.0,20.2,OICP,Credit Card,Fast Pro,0.16,1.99,124,20,16,21,2
2020/05/03 18:13:47,2020/05/03 19:42:39,27.6,26.7,OCCP,Credit Card,Standard,0.1,2.67,0,26,31,123,2
2020/09/08 12:30:11,2020/09/08 13:19:20,NULL,32.3,OCCP,Credit Card,Fast Pro,0.16,5.17,0,32,20,83,4
2020/09/29 3:56:53,2020/09/29 4:41:46,NULL,31.3,OCHP,Credit Card,Discount,0.08,2.5,0,31,27,156,4
2020/04/16 6:14:16,2020/04/16 8:49:14,19.6,18.8,OCHP,Credit Card,Standard,0.1,1.88,0,18,9,31,5
2020/03/22 12:3:8,2020/03/22 14:29:36,NULL,34.5,OICP,Credit Card,Military,0.04,1.02,36,34,26,55,5
2020/02/09 1:44:4,2020/02/09 3:57:15,NULL,28.7,OpenADR,Credit Card,Standard,0.1,2.87,0,28,33,34,3
2020/04/25 12:17:37,2020/04/25 14:0:29,NULL,37.2,OpenADR,Credit Card,Standard,0.1,3.72,0,37,15,117,3
2020/01/29 19:12:28,2020/01/29 20:2:21,24.3,24.9,OCPI,Credit Card,Fast Pro,0.16,3.98,0,24,31,149,4
2020/06/16 7:34:38,2020/06/16 8:31:47,23.4,23.1,OCPI,Credit Card,Discount,0.08,0.72,113,23,29,113,1
2020/05/21 4:50:55,2020/05/21 6:18:23,NULL,17.4,OCCP,Credit Card,Discount,0.08,1.39,0,17,14,172,2
2020/09/21 9:6:31,2020/09/21 10:46:3,18.7,17.9,OICP,Credit Card,Fast Pro,0.16,2.86,0,17,34,118,5
2020/12/19 15:39:53,2020/12/19 16:17:44,NULL,27.0,OpenADR,Credit Card,Standard,0.1,2.7,0,27,7,32,4
2020/01/28 14:54:2,2020/01/28 15:23:49,NULL,32.8,ISO15118,Credit Card,Discount,0.08,2.16,46,32,25,151,4
2020/10/28 18:10:31,2020/10/28 20:33:44,NULL,15.1,OpenADR,Credit Card,Standard,0.1,0.91,60,15,9,41,1
2020/11/06 8:38:25,2020/11/06 9:19:6,NULL,19.0,OCPI,Credit Card,Fast Pro,0.16,3.04,0,19,12,30,4
2020/06/12 1:16:28,2020/06/12 3:33:12,NULL,27.9,OCCP,Credit Card,Standard,0.1,2.79,0,27,6,65,3
2020/08/15 3:52:21,2020/08/15 4:38:22,36.8,35.8,OCHP,Credit Card,Military,0.04,0.86,57,35,30,178,1
2020/10/30 6:32:57,2020/10/30 7:31:3,NULL,15.4,OCCP,Credit Card,Standard,0.1,1.54,0,15,10,67,4
2020/08/27 6:20:55,2020/08/27 7:22:56,37.0,36.0,OCCP,Credit Card,Standard,0.1,3.31,29,36,15,51,4
2020/12/10 5:49:45,2020/12/10 7:57:1,18.5,18.5,ISO15118,Credit Card,Discount,0.08,1.48,0,18,24,164,3
2020/05/15 15:45:36,2020/05/15 17:23:51,NULL,27.2,ISO15118,Credit Card,Standard,0.1,2.72,0,27,2,163,3
2020/04/19 16:50:13,2020/04/19 18:4:17,NULL,18.0,OICP,Credit Card,Discount,0.08,0.81,63,18,15,136,1
2020/12/06 1:16:11,2020/12/06 3:51:27,25.4,25.0,OCPI,Credit Card,Standard,0.1,2.5,0,25,3,196,5
2020/11/07 11:4:5,2020/11/07 13:1:42,NULL,29.0,ISO15118,Credit Card,Discount,0.08,1.67,65,29,14,197,1
2020/07/17 9:24:1,2020/07/17 11:16:6,NULL,30.9,OICP,Credit Card,Standard,0.1,3.09,0,30,10,45,5
2020/06/14 8:34:50,2020/06/14 10:10:47,23.4,23.7,OCPI,Credit Card,Standard,0.1,2.37,0,23,22,73,5
2020/09/28 2:54:28,2020/09/28 4:4:53,15.9,15.4,OCPI,Credit Card,Fast Pro,0.16,2.46,0,15,4,126,5
2020/10/01 3:23:22,2020/10/01 5:5:23,NULL,30.3,OCHP,Credit Card,Fast Pro,0.16,4.85,0,30,24,23,5
2020/09/11 9:38:29,2020/09/11 10:13:4,NULL,30.8,OCHP,Credit Card,Fast Pro,0.16,4.93,0,30,24,149,2
2020/05/02 7:12:48,2020/05/02 8:30:49,NULL,17.2,OCCP,Credit Card,Fast Pro,0.16,2.75,0,17,28,149,5
2020/01/20 13:24:49,2020/01/20 14:30:58,NULL,36.4,OCPI,Credit Card,Standard,0.1,3.64,0,36,2,162,4
2020/04/03 8:19:23,2020/04/03 10:2:27,NULL,30.5,OCPI,Credit Card,Fast Pro,0.16,4.88,0,30,6,107,2
2020/03/09 18:14:45,2020/03/09 20:43:40,NULL,24.3,OICP,Credit Card,Standard,0.1,2.43,0,24,13,83,4
2020/04/26 1:18:19,2020/04/26 3:13:51,NULL,36.5,OCPI,Credit Card,Discount,0.08,2.92,0,36,28,174,5
2020/04/19 12:5:24,2020/04/19 13:30:40,NULL,34.3,OCCP,Credit Card,Fast Pro,0.16,5.49,0,34,7,68,5
2020/12/14 15:46:50,2020/12/14 16:22:6,NULL,34.0,OpenADR,Credit Card,Standard,0.1,3.4,0,34,23,184,3
2020/01/05 4:49:57,2020/01/05 6:33:4,34.9,35.7,OCPI,Credit Card,Standard,0.1,3.57,0,35,11,142,1
2020/12/29 13:32:12,2020/12/29 15:7:17,NULL,19.0,OCHP,Credit Card,Fast Pro,0.16,3.04,0,19,25,54,5
2020/02/24 0:6:58,2020/02/24 1:6:11,21.9,21.1,OCHP,Credit Card,Fast Pro,0.16,3.38,0,21,23,19,3
2020/07/16 1:38:30,2020/07/16 3:15:26,NULL,18.3,OICP,Credit Card,Standard,0.1,1.83,0,18,9,113,4
2020/05/23 3:26:56,2020/05/23 4:13:6,NULL,28.9,OCHP,Credit Card,Standard,0.1,2.89,0,28,19,85,2
2020/11/06 11:35:4,2020/11/06 13:33:18,NULL,23.4,OICP,Credit Card,Fast Pro,0.16,2.16,158,23,30,110,1
2020/08/31 13:36:7,2020/08/31 15:24:44,27.0,27.2,OCPI,Credit Card,Military,0.04,1.09,0,27,18,61,3
2020/02/06 16:26:4,2020/02/06 17:6:44,NULL,36.7,OCCP,Credit Card,Discount,0.08,2.29,65,36,12,136,3
2020/05/29 7:24:11,2020/05/29 9:13:32,19.8,19.6,OICP,Credit Card,Discount,0.08,1.57,0,19,17,152,4
2020/02/12 18:7:25,2020/02/12 19:10:56,NULL,27.9,OICP,Credit Card,Fast Pro,0.16,4.46,0,27,29,161,3
2020/04/15 0:11:44,2020/04/15 2:4:40,NULL,35.9,OCPI,Credit Card,Discount,0.08,2.87,0,35,7,43,5
2020/01/07 12:12:12,2020/01/07 13:48:58,22.4,22.3,OCCP,Credit Card,Standard,0.1,2.23,0,22,14,115,4
2020/12/05 6:18:39,2020/12/05 7:32:34,19.3,19.4,ISO15118,Credit Card,Discount,0.08,1.55,0,19,12,3,3
2020/11/22 7:36:56,2020/11/22 8:32:54,34.8,34.5,OICP,Credit Card,Discount,0.08,2.76,0,34,34,70,1
2020/01/21 16:25:22,2020/01/21 17:34:58,NULL,34.1,OCCP,Credit Card,Discount,0.08,1.51,122,34,17,34,3
2020/12/19 8:20:19,2020/12/19 10:8:44,30.5,31.2,OCPI,Credit Card,Discount,0.08,2.5,0,31,30,2,2
2020/08/28 0:24:5,2020/08/28 1:8:14,32.2,32.1,ISO15118,Credit Card,Standard,0.1,1.48,173,32,7,25,1
2020/04/27 10:33:58,2020/04/27 12:0:24,16.3,17.0,OCHP,Credit Card,Military,0.04,-0.44,112,17,8,94,5
2020/11/03 8:6:13,2020/11/03 10:51:58,32.1,32.1,OICP,Credit Card,Standard,0.1,3.21,0,32,21,194,2
2020/10/19 5:10:45,2020/10/19 7:1:27,NULL,26.8,OCHP,Credit Card,Fast Pro,0.16,3.81,48,26,15,175,1
2020/01/30 8:22:45,2020/01/30 10:58:8,31.3,31.4,OCPI,Credit Card,Discount,0.08,2.51,0,31,21,167,1
2020/12/13 9:27:33,2020/12/13 10:32:3,29.2,28.3,OICP,Credit Card,Fast Pro,0.16,4.53,0,28,1,32,4
2020/11/29 6:28:58,2020/11/29 7:24:2,27.4,27.7,OCCP,Credit Card,Fast Pro,0.16,4.43,0,27,9,42,4
2020/01/29 7:47:42,2020/01/29 9:56:20,19.9,19.8,OCPI,Credit Card,Fast Pro,0.16,3.17,0,19,7,68,5
2020/10/29 17:5:47,2020/10/29 18:50:55,31.9,32.6,OCHP,Credit Card,Fast Pro,0.16,4.17,105,32,23,177,4
2020/09/22 14:14:48,2020/09/22 16:53:24,28.7,28.3,OCPI,Credit Card,Standard,0.1,2.83,0,28,19,162,3
2020/03/16 7:4:31,2020/03/16 9:52:22,NULL,15.3,OICP,Credit Card,Fast Pro,0.16,0.71,174,15,31,152,3
2020/05/28 2:35:10,2020/05/28 4:26:46,16.9,17.7,OCHP,Credit Card,Discount,0.08,1.42,0,17,11,3,1
2020/08/16 4:41:7,2020/08/16 5:36:7,25.5,25.9,OICP,Credit Card,Standard,0.1,0.66,193,25,16,192,4
2020/09/08 9:10:30,2020/09/08 10:5:21,36.0,35.3,ISO15118,Credit Card,Standard,0.1,3.08,45,35,31,18,5
2020/02/24 11:2:31,2020/02/24 12:49:52,17.2,16.9,ISO15118,Credit Card,Discount,0.08,1.35,0,16,4,153,4
2020/12/29 0:36:20,2020/12/29 1:12:30,15.9,16.1,OCPI,Credit Card,Fast Pro,0.16,0.9,168,16,1,43,4
2020/05/04 3:42:12,2020/05/04 4:27:23,28.3,28.5,OpenADR,Credit Card,Standard,0.1,2.85,0,28,1,197,5
2020/05/08 13:18:21,2020/05/08 15:12:4,17.4,16.6,OCPI,Credit Card,Standard,0.1,1.66,0,16,22,122,2
2020/07/07 16:23:56,2020/07/07 18:27:23,NULL,33.1,OICP,Credit Card,Discount,0.08,2.65,0,33,15,136,3
2020/11/23 13:5:29,2020/11/23 15:53:11,28.2,28.6,OICP,Credit Card,Standard,0.1,2.86,0,28,18,153,2
2020/05/21 14:57:29,2020/05/21 15:41:2,23.6,23.6,OCPI,Credit Card,Fast Pro,0.16,2.67,111,23,8,55,1
2020/12/12 17:47:13,2020/12/12 18:38:10,NULL,35.7,OCPI,Credit Card,Standard,0.1,1.76,181,35,23,74,5
2020/08/04 2:48:22,2020/08/04 4:5:58,NULL,32.8,ISO15118,Credit Card,Standard,0.1,3.28,0,32,30,51,4
2020/01/08 19:4:43,2020/01/08 20:32:29,22.2,21.6,OCCP,Credit Card,Discount,0.08,1.73,0,21,13,193,5
2020/10/16 2:25:26,2020/10/16 3:33:30,27.9,28.1,OpenADR,Credit Card,Fast Pro,0.16,4.5,0,28,5,151,1
2020/05/19 3:1:48,2020/05/19 5:45:47,30.3,29.8,OCCP,Credit Card,Standard,0.1,2.98,0,29,14,184,5
2020/08/30 13:2:44,2020/08/30 14:18:41,26.1,27.0,OCCP,Credit Card,Fast Pro,0.16,4.32,0,27,33,51,4
2020/10/20 12:34:45,2020/10/20 13:29:23,20.0,20.0,OpenADR,Credit Card,Standard,0.1,0.32,168,20,7,38,2
2020/03/17 5:14:28,2020/03/17 7:11:24,31.8,31.7,OICP,Credit Card,Standard,0.1,2.08,109,31,29,154,2
2020/06/29 3:4:25,2020/06/29 4:28:8,NULL,23.4,ISO15118,Credit Card,Discount,0.08,1.87,0,23,24,67,3
2020/10/02 10:7:39,2020/10/02 12:25:25,20.8,20.8,OCPI,Credit Card,Discount,0.08,1.66,0,20,3,180,3
2020/02/02 9:3:19,2020/02/02 11:24:46,17.4,17.4,OCCP,Credit Card,Standard,0.1,1.56,18,17,18,137,5
2020/09/15 2:22:42,2020/09/15 3:45:52,32.9,33.5,OCHP,Credit Card,Standard,0.1,1.42,193,33,26,100,1
2020/08/30 2:55:47,2020/08/30 3:58:3,NULL,21.5,OICP,Credit Card,Fast Pro,0.16,3.44,0,21,34,107,2
2020/04/28 16:11:42,2020/04/28 17:15:10,26.1,25.5,OCHP,Credit Card,Fast Pro,0.16,4.08,0,25,16,185,2
2020/11/13 10:13:21,2020/11/13 11:14:21,NULL,24.7,OCHP,Credit Card,Discount,0.08,1.98,0,24,24,131,4
2020/07/23 13:13:46,2020/07/23 14:4:44,NULL,35.9,OpenADR,Credit Card,Fast Pro,0.16,5.74,0,35,3,190,2
2020/11/22 0:13:0,2020/11/22 2:6:54,NULL,37.0,OCPI,Credit Card,Discount,0.08,2.96,0,37,31,173,3
2020/12/11 13:46:48,2020/12/11 15:41:21,NULL,37.1,ISO15118,Credit Card,Fast Pro,0.16,5.94,0,37,16,1,2
2020/01/25 13:47:13,2020/01/25 14:23:2,NULL,24.6,OCPI,Credit Card,Fast Pro,0.16,3.94,0,24,14,166,5
2020/11/05 10:17:20,2020/11/05 11:30:57,NULL,36.9,OCPI,Credit Card,Fast Pro,0.16,5.9,0,36,14,30,1
2020/05/05 1:51:17,2020/05/05 2:12:2,NULL,19.7,ISO15118,Credit Card,Fast Pro,0.16,3.15,0,19,31,93,3
2020/06/25 2:24:51,2020/06/25 3:42:42,21.1,21.4,OCPI,Credit Card,Standard,0.1,2.14,0,21,10,67,1
2020/03/20 9:21:31,2020/03/20 11:13:4,16.7,16.1,OICP,Credit Card,Fast Pro,0.16,0.65,193,16,12,39,3
2020/10/21 2:46:0,2020/10/21 4:27:13,32.2,31.8,OpenADR,Credit Card,Discount,0.08,2.49,5,31,13,28,5
2020/02/05 1:57:42,2020/02/05 3:25:9,17.6,16.6,OCCP,Credit Card,Fast Pro,0.16,2.66,0,16,32,13,3
2020/02/08 1:35:37,2020/02/08 3:58:13,NULL,37.3,OCPI,Credit Card,Standard,0.1,3.73,0,37,9,42,4
2020/05/09 12:46:18,2020/05/09 14:18:42,NULL,26.9,OCHP,Credit Card,Standard,0.1,2.69,0,26,4,98,2
2020/07/18 10:31:51,2020/07/18 11:12:57,36.5,36.1,OICP,Credit Card,Standard,0.1,3.61,0,36,3,19,2
2020/11/04 13:30:54,2020/11/04 15:1:44,NULL,18.8,ISO15118,Credit Card,Standard,0.1,1.88,0,18,22,52,4
2020/06/21 4:30:6,2020/06/21 5:2:20,30.1,30.2,OICP,Credit Card,Discount,0.08,2.42,0,30,23,67,2
2020/12/08 8:56:58,2020/12/08 9:10:52,36.2,36.4,OCPI,Credit Card,Standard,0.1,2.58,106,36,27,38,2
2020/04/06 12:7:13,2020/04/06 13:51:50,NULL,32.9,OCCP,Credit Card,Standard,0.1,3.29,0,32,21,51,1
2020/06/24 9:51:14,2020/06/24 10:35:25,NULL,32.1,OpenADR,Credit Card,Discount,0.08,2.57,0,32,23,86,4
2020/02/13 13:37:49,2020/02/13 15:26:47,33.6,33.8,OpenADR,Credit Card,Fast Pro,0.16,5.41,0,33,25,96,3
2020/07/23 1:15:46,2020/07/23 3:54:36,33.9,33.8,OpenADR,Credit Card,Standard,0.1,2.37,101,33,28,90,4
2020/04/11 14:36:38,2020/04/11 15:16:56,NULL,36.5,OICP,Credit Card,Discount,0.08,2.92,0,36,7,107,5
2020/05/28 3:7:55,2020/05/28 5:38:4,34.0,33.6,OCPI,Credit Card,Standard,0.1,3.36,0,33,18,101,3
2020/01/07 19:36:42,2020/01/07 20:35:8,33.1,32.2,OpenADR,Credit Card,Standard,0.1,3.22,0,32,5,98,4
2020/06/06 8:54:40,2020/06/06 9:54:55,22.0,21.5,OCCP,Credit Card,Standard,0.1,1.06,109,21,29,151,2
2020/05/21 0:8:23,2020/05/21 1:5:44,17.1,16.5,OCPI,Credit Card,Discount,0.08,1.32,0,16,28,55,2
2020/03/12 12:17:38,2020/03/12 13:41:44,34.3,35.0,OCHP,Credit Card,Fast Pro,0.16,5.6,0,35,10,19,5
2020/03/16 19:43:51,2020/03/16 21:56:14,NULL,28.3,OCHP,Credit Card,Discount,0.08,2.26,0,28,18,165,3
2020/05/23 2:10:31,2020/05/23 4:26:42,28.8,29.5,OICP,Credit Card,Military,0.04,1.18,0,29,32,31,2
2020/06/06 6:43:8,2020/06/06 8:33:55,NULL,18.0,OCHP,Credit Card,Standard,0.1,1.8,0,18,14,192,4
2020/11/06 17:38:48,2020/11/06 18:3:42,25.1,25.9,OCHP,Credit Card,Standard,0.1,2.59,0,25,15,65,1
2020/12/17 2:12:45,2020/12/17 3:50:14,31.9,31.1,OCHP,Credit Card,Standard,0.1,1.28,183,31,19,78,4
2020/09/25 5:29:11,2020/09/25 6:17:14,25.1,25.0,ISO15118,Credit Card,Standard,0.1,2.5,0,25,33,190,4
2020/02/11 16:48:56,2020/02/11 17:23:33,NULL,26.8,OCCP,Credit Card,Fast Pro,0.16,4.29,0,26,21,60,2
